,,,,,"TR = 30",,,"TR = 50",,,"TR = 72",,,"TR = 101",,,"TR = 140",,,"TR = 201",,,"TR = 475",,,"TR = 975",,,"TR = 2475",
"OBJECTID","ID","LON","LAT","T30ag","T30F0","T30Tc","T50ag","T50F0","T50Tc","T72ag","T72F0","T72Tc","T101ag","T101F0","T101Tc","T140ag","T140F0","T140Tc","T201ag","T201F0","T201Tc","T475ag","T475F0","T475Tc","T975ag","T975F0","T975Tc","T2475ag","T2475F0","T2475Tc"
1,13111,6.544813,45.13446,0.26297,2.4951,0.17895,0.34013,2.5099,0.20544,0.3944,2.5455,0.21943,0.46949,2.4898,0.23635,0.54488,2.5002,0.23866,0.63955,2.4941,0.2528,0.94255,2.4352,0.2666,1.2666,2.4202,0.27439,1.7672,2.4342,0.28556
2,13333,6.550592,45.08463,0.2641,2.4941,0.17886,0.34067,2.5116,0.20522,0.3945,2.5482,0.21931,0.46882,2.4939,0.23618,0.54335,2.5042,0.23872,0.6361,2.5005,0.25308,0.93466,2.4412,0.26716,1.2542,2.4249,0.27522,1.7508,2.435,0.28607
3,13555,6.556428,45.03479,0.26424,2.4957,0.17863,0.34007,2.5146,0.20479,0.3934,2.5514,0.21907,0.46624,2.4998,0.23598,0.53991,2.5087,0.23892,0.62998,2.5088,0.25348,0.92347,2.4479,0.26782,1.2374,2.4305,0.27619,1.7291,2.4354,0.28658
4,13777,6.562108,44.98496,0.26344,2.4998,0.17825,0.33844,2.5179,0.20423,0.3912,2.5549,0.2187,0.46197,2.5073,0.23586,0.53477,2.5136,0.2393,0.62149,2.519,0.25397,0.90934,2.4555,0.26815,1.2168,2.4367,0.27732,1.7029,2.4358,0.28693
5,12890,6.609601,45.18835,0.28393,2.4598,0.19386,0.36432,2.507,0.20974,0.4309,2.501,0.22097,0.50942,2.4803,0.23581,0.5852,2.4997,0.24093,0.69462,2.4688,0.2528,1.0056,2.4422,0.2664,1.3381,2.4309,0.27418,1.844,2.4419,0.28768
6,13112,6.615325,45.13852,0.28631,2.4574,0.19394,0.36635,2.5082,0.20971,0.4334,2.5009,0.22082,0.51126,2.4843,0.23552,0.58641,2.5038,0.24574,0.69542,2.4726,0.25289,1.0046,2.4464,0.26664,1.3362,2.4334,0.27449,1.8413,2.4429,0.28794
7,13334,6.621044,45.08868,0.28767,2.457,0.19382,0.36716,2.5108,0.20957,0.434,2.5032,0.2208,0.51124,2.4879,0.23543,0.58578,2.5072,0.24587,0.69384,2.4766,0.25311,1.0007,2.4501,0.26705,1.3315,2.4348,0.2749,1.8354,2.4432,0.2882
8,13556,6.626787,45.03884,0.2881,2.4597,0.19346,0.36692,2.5144,0.20934,0.433,2.5079,0.22083,0.50973,2.4915,0.23548,0.58378,2.5103,0.24598,0.69059,2.4808,0.25339,0.99581,2.4518,0.26756,1.3254,2.4354,0.27535,1.8283,2.4431,0.28845
9,13778,6.632496,44.98901,0.28751,2.4639,0.19294,0.36561,2.5183,0.20909,0.4304,2.5149,0.22085,0.50675,2.495,0.23563,0.58041,2.5133,0.24602,0.68561,2.4855,0.25373,0.9893,2.4527,0.26815,1.3175,2.4355,0.27585,1.8193,2.4428,0.28865
10,14000,6.638289,44.93916,0.28598,2.4689,0.19234,0.36334,2.522,0.20872,0.4264,2.5236,0.22079,0.50241,2.4983,0.23588,0.57572,2.5159,0.24133,0.67884,2.4908,0.25412,0.98067,2.4533,0.26887,1.307,2.4356,0.27645,1.8072,2.4427,0.28891
